"id";"numero_cte";"xml_cte_sftp";"xml_par_sftp";"pod_par_sftp";"situacao"
"8567";"000048411";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8372";"000048444";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8488";"000048478";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8450";"000048480";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8553";"000048481";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8582";"000048484";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8623";"000048486";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8602";"000048488";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8544";"000048490";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8664";"000048491";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8331";"000048501";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8487";"000048502";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8363";"000048503";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8367";"000048504";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8340";"000048505";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8560";"000048506";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8481";"000048507";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8525";"000048508";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8562";"000048509";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8700";"000048542";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8597";"000048549";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8521";"000048556";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8611";"000048557";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8536";"000048560";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8636";"000048561";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8444";"000048562";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8688";"000048565";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8346";"000048566";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8648";"000048568";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8453";"000048569";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8455";"000048574";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8518";"000048577";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8621";"000048579";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8678";"000048582";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8651";"000048583";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
